,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
6228,15.6 inches,1920 x 1080,2.5 GHz Intel Core i5,8 GB,256 GB SSD,Intel HD Graphics 620,Intel,Integrated,,,Dell,Dell,Windows 10,5.07 pounds,15 x 10.2 x 0.9 inches,15 x 10.2 x 0.9 inches,Intel,2,256 GB,Serial ATA,,,,"August 3, 2019",$548.00
6229,13.3 inches,2560 x 1440,2.4 GHz Intel Core i7,8 GB,256 GB SSD,Intel HD Graphics 5100,,integrated,,,UX301LA-WS71T,UX301LA-WS71T,Windows 10,3.04 pounds,12.6 x 0.6 x 8.9 inches,12.6 x 0.61 x 8.9 inches,Intel,1,256 GB,Solid State,,,1 Lithium ion batteries required.,"April 12, 2016",$756.50
6230,15.6 inches,1920 x 1080,8032,DDR3,Flash Memory Solid State,,Intel,Integrated,2,6 hours,Lenovo,20N4001TUS,,6 pounds,2 x 4 x 8 inches,2 x 4 x 8 inches,,1,,Solid State,2 RPM,No Optical Drive,1 Lithium ion batteries required.,"April 5, 2019",
6231,15.6 inches,1920 x 1080,4.5 GHz Core i7 Family,16 GB SDRAM,512 GB Flash Memory Solid State,,NVIDIA,Dedicated,,4 hours,HP,OMEN X 2S Laptop 15-dg0010nr,Windows 10 Home,5.25 pounds,10.3 x 14.3 x 0.8 inches,10.3 x 14.26 x 0.78 inches,Intel,6,16.00,Solid State,0.01 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"June 9, 2019","$2,052.49"
6232,15.6 inches,1920x1080,2.6 GHz Intel Core i7,32 GB,1 TB PCIe SSD,NVIDIA GeForce GTX 1650,nvidia,dedicated,,5 hours,Lenovo,Legion,Windows 10,5.1 pounds,14.4 x 10.2 x 1 inches,14.37 x 10.24 x 1.02 inches,Intel,6,,PCIE x 4,,,,"July 29, 2019","$1,499.00"
6233,15.6 inches,HD ( 1366 x 768 ),2.6 GHz AMD A Series,4 GB DDR,256 GB SSD,AMD Radeon R4,amd,"Integrated, Dedicated",,5 hours,Lenovo,Lenovo,Windows 10 Home,4.63 pounds,10 x 14.8 x 0.9 inches,10 x 14.8 x 0.9 inches,AMD,2,256 GB,Solid State,,,,"November 21, 2018",$296.10
6234,11.6 inches,1366x768,1.7 GHz Intel Core i7,8 GB DDR3,256 GB Solid State,,intel,integrated,,7 hours,Apple,MacBook Air,Mac OS X,2.38 pounds,7.6 x 11.8 x 0.7 inches,7.6 x 11.8 x 0.7 inches,Intel,2,64 GB,Solid State,,,1 Lithium Polymer batteries required. (included),"September 6, 2017",$369.99
6235,14 inches,,2.6 GHz Intel Core i5,16 GB DDR3,mechanical_hard_drive,,intel,integrated,,,HP,HP EliteBook,Windows 10,5 pounds,13.3 x 1.3 x 9.1 inches,13.3 x 1.3 x 9.1 inches,Intel,2,,,,,,"May 9, 2016",$189.99
6236,15.6 inches,4096x2304,4 GHz Core i5 8300H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1050 Ti,NVIDIA,Dedicated,,,Dell,850012652762,Windows 10,,15 x 10.2 x 0.9 inches,14.96 x 10.16 x 0.89 inches,Intel,4,,Solid State,,,,"September 16, 2019",$799.00
6237,14 inches,1300 x 768,1.8 GHz Core i5-2300,8 GB SO-DIMM DDR3,128 GB SSD,Intel HD Graphics,,"Integrated Graphics, Integrated",,,HP,EB FOLIO 9470M,Windows 10 Pro,3.6 pounds,9.1 x 13.3 x 0.7 inches,9.1 x 13.3 x 0.7 inches,Intel,1,128 GB,Serial ATA,,,1 Lithium ion batteries required.,"April 21, 2015",$199.69
6238,15.6 inches,1366 x 768,3.1 GHz AMD A Series,8 GB,1 TB mechanical_hard_drive,AMD Radeon R5,amd,,,5 hours,Lenovo,Ideapad,Windows 10,5.9 pounds,,,AMD,2,,Serial ATA,,,,"June 9, 2019",$322.33
6239,15.6 inches,,2.4 GHz Intel Core i3,8 GB DDR,1 TB mechanical_hard_drive,Intel HD Graphics 620,intel,Integrated,,8 hours,HP,hp-i3,Windows 10,11.5 ounces,15 x 10 x 1 inches,15 x 10 x 1 inches,Intel,2,,Serial ATA-300,5400 RPM,,1 Lithium ion batteries required.,"November 14, 2017",$479.00
6240,14 inches,1366 x 768,2.1 GHz Intel Core i3,4 GB,256 GB SSD,Intel UHD Graphics 620,intel,Integrated,,,HP,Notebook -14,Windows 10,5 pounds,12.8 x 8.9 x 0.7 inches,12.76 x 8.86 x 0.71 inches,Intel,2,,Solid State,,,,"October 10, 2019",$384.96
6241,15.6 inches,1366 x 768,1.1 GHz Pentium,16 GB SDRAM,1 TB HDD 5400 rpm,Intel UHD Graphics 605,Intel,,,7 hours,HP,HP,Windows 10,4.3 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.69 x 0.89 inches,Intel,4,,Serial ATA,,,1 Lithium ion batteries required. (included),"October 25, 2019",$431.39
6242,15.6 inches,1366 x 768,2.4 GHz Core i3 7100U,8 GB,256 GB flash_memory_solid_state,Intel UHD Graphics 620,intel,Integrated,,,HP,Pavillion,Windows 10,4.5 pounds,,,Intel,2,256 GB,Solid State,,,,"July 12, 2019",$449.00
6243,15.6 inches,1920 x 1080,2.2 GHz Intel Core i3,8 GB,128 GB Hybrid,Intel UHD Graphics 620,Intel,Integrated,,,Dell,Dell Inspiron,Windows 10 64-Bit,6.61 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.15 x 0.89 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"February 13, 2019",$509.00
6244,17.3 inches,1920 x 1080,2.3 GHz Core i9,32 GB DDR4,2000 GB flash_memory_solid_state,NVIDIA GeForce RTX 2080,NVIDIA,dedicated,,,Computer Upgrade King,Stealth,Windows 10 Pro,4.96 pounds,15.6 x 10.2 x 0.8 inches,15.59 x 10.22 x 0.75 inches,Intel,8,,,,,1 Lithium ion batteries required. (included),"June 10, 2019","$3,299.99"
6245,14 inches,1366 x 768,2 Ryzen 5 2500U,8 GB DDR4,500 GB Mechanical Hard Drive,AMD Radeon Vega 8,AMD,Integrated,3,,Lenovo,ThinkPad A485,,3.64 pounds,13.2 x 9.2 x 0.8 inches,13.25 x 9.15 x 0.79 inches,AMD,1,,Serial ATA,7200 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"July 23, 2018",$689.99
6246,15.6 inches,1920 x 1080,2.4 GHz Intel Core i5,8 GB,256 GB flash_memory_solid_state,NVIDIA GeForce GTX 1650,NVIDIA,dedicated,,2 hours,XOTIC PC,GF63 THIN,Windows 10,4.1 pounds,14.1 x 9.9 x 0.8 inches,14.13 x 9.9 x 0.85 inches,Intel,4,256 GB,Solid State,,,,"August 7, 2019",
6247,17.3 inches,1600 x 900,2.1 GHz AMD A Series,8 GB,256 GB SSD,AMD Radeon Vega 8,AMD,,,,HP,HP,Windows 10 Home,5.4 pounds,16.3 x 10.7 x 1 inches,16.33 x 10.71 x 0.96 inches,AMD,4,,Serial ATA,,,,"October 19, 2019",$778.55
6248,14 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB DDR4,256 GB SSD,Intel HD Graphics 620,,Integrated,,8 hours,Lenovo,flex 14inch,Windows 10,4.92 pounds,12.9 x 9 x 0.7 inches,12.91 x 9 x 0.69 inches,Intel,4,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"May 9, 2019",$659.00
6249,15.6 inches,1920 x 1080 pixels,3.4 GHz AMD R Series,8 GB DDR4,128 GB Flash Memory Solid State,AMD Radeon Vega 3,AMD,Integrated,2,,ASUS,Vivobook 15 F512DA,Windows 10 Home,3.53 pounds,14.1 x 9.1 x 0.8 inches,14.1 x 9.1 x 0.78 inches,AMD,2,128,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"July 16, 2019",
6250,15.6 inches,1920x1080,2.5 GHz Intel Core i7,32 GB,256 GB SSD,NVIDIA GeForce 940MX 2GB GDDR5,nvidia,dedicated,,,Lenovo,ThinkPad,Windows 10 Pro,5.07 pounds,14.9 x 10.3 x 1 inches,14.92 x 10.28 x 1 inches,Intel,2,256 GB,Solid State,,,,"July 3, 2019","$1,239.00"
6251,,,1.8 GHz Intel Celeron,8 GB,1 TB,Intel HD Graphics 610,,,,,Lenovo,Ideapad,Windows 10,,,,Intel,2,,Serial ATA,,,,"November 27, 2019",$459.00
6252,15.6 inches,3840 x 2160,1.8 GHz Intel Core i7,64 GB DDR4,2000 GB,NVIDIA GeForce MX250,,,,,Computer Upgrade King,Envy X360,Windows 10 Pro,4.53 pounds,14.1 x 9.7 x 0.7 inches,14.13 x 9.68 x 0.67 inches,Intel,4,,,,,1 Lithium ion batteries required. (included),"November 18, 2019","$1,649.99"
6253,14 inches,1920x1080,1.6 GHz Intel Core i5,32 GB,2 TB SSD,Intel UHD Graphics,,,,,Dell,Inspiron 15,Windows 10 Pro,4.6 pounds,14 x 10.2 x 0.8 inches,14.02 x 10.2 x 0.82 inches,Intel,4,,Solid State,,,,"November 14, 2019","$1,099.00"
6254,,,1.1 GHz Intel Core i5,16 GB,256 GB,Intel Iris Plus Graphics,,,,,Dell,Dell laptop,Windows 10,,,,Intel,4,,Solid State,,,,"November 26, 2019",$529.99
6255,17.3 inches,1600 x 900,1.8 GHz Intel Core i7,8 GB,512 GB SSD,Intel UHD Graphics 620,Intel,,,,HP,HP,Windows 10 Home,5.71 pounds,16.3 x 10.7 x 1 inches,16.33 x 10.72 x 0.96 inches,Intel,4,,Serial ATA,,,,"November 18, 2019",$863.02
6256,14 inches,1920x1080,1.8 GHz Intel Core i7,16 GB DDR3,512 GB flash_memory_solid_state,NVIDIA GeForce MX150,nvidia,Dedicated,,,ASUS,ASUS ZenBook Flip,Windows 10,6.04 pounds,12.9 x 8.9 x 0.5 inches,12.9 x 8.9 x 0.5 inches,Intel,4,,Solid State,,,,"September 19, 2019","$1,149.00"
6257,14 inches,1600x900,1.6 GHz Intel Core i5,8 GB,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,HP,17 Laptop,Windows 10,,16.3 x 10.7 x 1 inches,16.33 x 10.72 x 0.96 inches,Intel,4,,PCIE x 8,,,1 Lithium ion batteries required. (included),"November 20, 2019",$689.00
6258,14 inches,1366x768,1 GHz Intel Core i5,4 GB,128 GB SSD,Intel® UHD Graphics Integrated,Intel,,,,HP,HP 14 Laptop,Windows 10,,12.8 x 8.9 x 0.7 inches,12.76 x 8.86 x 0.71 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"November 25, 2019",$435.00
6259,15.6 inches,1366 x 768,1.8 GHz Intel Core i7,16 GB,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Dell,Dell,Windows 10 Home,4.83 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.16 x 0.89 inches,Intel,4,,Serial ATA,,,,"October 14, 2019",$705.92
6260,17.3 inches,,8032,,flash_memory_solid_state,NVIDIA GeForce GTX 1050 Ti,nvidia,dedicated,,7 hours,MSI,GF75 THIN 9RCX-423,,8.9 pounds,,,,1,,,,,1 Lithium ion batteries required. (included),"October 16, 2019",$808.60
6261,15.6 inches,1920 x 1080,2.4 GHz Core i5 5300U,16 GB,500 GB,,,,,,Lenovo,Lenovo Thinkpad,Windows 7 Professional,4.5 pounds,14.4 x 9.9 x 0.8 inches,14.4 x 9.9 x 0.78 inches,Intel,2,,ATA,7200 RPM,,1 Lithium Polymer batteries required. (included),"May 22, 2019",$989.90
6262,15.6 inches,3840 x 2160,2.6 GHz Intel Core i7,16 GB DDR4,1 TB SSD,NVIDIA GeForce GTX 1650,,dedicated,,,HP,Spectre x360,Windows 10,4.83 pounds,,,Intel,6,,Solid State,,,1 Lithium ion batteries required. (included),"September 19, 2019","$1,829.95"
6263,15.6 inches,1366 x 768,2.1 GHz Intel Core i3,8 GB SO-DIMM,1 TB SSD,Intel Graphics UHD 620,Intel,,,,Dell,850011103548,Windows 10,4.41 pounds,15 x 10.2 x 0.8 inches,15 x 10.2 x 0.8 inches,Intel,2,,Solid State,,,,"November 10, 2019",$491.99
6264,14 inches,1920 x 1080 pixels,2.2 GHz 8032,8 GB DRAM,Flash Memory Solid State,,intel,Integrated,,,HP,HP Chromebook,Chrome OS,2.18 pounds,17.5 x 2.9 x 12 inches,17.5 x 2.9 x 12 inches,Intel,4,64.0,Serial ATA,1 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"July 2, 2018",$421.07
6265,13.5 inches,3000 x 2000,4.2 GHz Intel Core i7,16 GB,512 GB flash_memory_solid_state,NVIDIA GeForce GTX 1060,,Dedicated,,,Microsoft,HNM-00001,Windows 10,3.68 ounces,2.4 x 13.9 x 10.6 inches,2.44 x 13.86 x 10.63 inches,Intel,4,512 GB,,,,1 Lithium Polymer batteries required. (included),"October 19, 2017",
6266,15.6 inches,1920 x 1080,1.8 GHz Intel Core i7,12 GB SDRAM,512 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,7 hours,HP,ENVY x360 2-in-1 Laptop,Windows 10,4.52 pounds,14.1 x 9.7 x 0.7 inches,14.1 x 9.7 x 0.7 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"October 5, 2019","$1,008.85"
6267,14 inches,1920 x 1080 pixels,3 GHz A-Series,8 GB DDR3,256 GB Hybrid Drive,,AMD,Integrated,1,,ASUS,F402BA-EB94,Windows 10,3.6 pounds,13.3 x 9.3 x 0.9 inches,13.3 x 9.3 x 0.9 inches,AMD,2,256,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"June 16, 2017",$529.00
6268,15.6 inches,1920 x 1080,2.2 GHz Intel Core i7,32 GB,1 TB SSD,NVIDIA GeForce GTX1650 4GB,NVIDIA,dedicated,,,MSI,MSI,Windows 10 Home,8.13 pounds,12.8 x 9.2 x 0.7 inches,12.8 x 9.2 x 0.7 inches,Intel,6,,Serial ATA,,,,"September 12, 2019","$1,399.00"
6269,15.6 inches,1366 x 768,2.7 GHz Intel Core i7,12 GB,1 TB,Intel HD Graphics 620,,,,,HP,Pavilion,Windows 10,4.85 pounds,,,Intel,1,,Serial ATA,,,1 Lithium Polymer batteries required.,"December 7, 2017",$759.99
6270,14 inches,1920 x 1080,2.5 GHz Intel Core i7,8 GB DDR3 SDRAM,256 GB flash_memory_solid_state,integrated_graphics,intel,integrated,,,Lenovo,Lenovo Thinkpad,Windows 10 Professional,3.31 pounds,4.5 x 6 x 0.7 inches,4.54 x 5.97 x 0.7 inches,Intel,2,256 GB,,,,1 Lithium ion batteries required.,"September 3, 2019",$499.00
6271,11.6 inches,,Intel Celeron,4 GB DDR3,emmc,Intel HD Graphics,intel,integrated,,10 hours,HP,Hp Stream,,2.58 pounds,11.8 x 8.1 x 0.8 inches,11.81 x 8.1 x 0.78 inches,,2,32,,,,1 Lithium Polymer batteries required. (included),"October 3, 2016",$199.00
6272,13.3 inches,2560x1600 pixels,2.5 GHz Intel Core i5,8 GB SDRAM,256 GB Solid State Drive,Intel HD Graphics 4000,intel,Integrated,,7 hours,Apple,DDMD212_8M256D_R,Mac OS X,3.57 pounds,8.6 x 12.3 x 0.8 inches,8.6 x 12.35 x 0.75 inches,Intel,2,256,Solid State,,,1 Lithium Polymer batteries required. (included),"January 19, 2018",$569.98
6273,13.3 inches,1920 x 1080,3.8 GHz Intel Core i7,8 GB LPDDR3,flash_memory_solid_state,Intel Iris Plus Graphics 640,intel,Integrated,,,Dell,XPS 9360,Windows 10,2.7 pounds,7.9 x 12 x 0.6 inches,7.88 x 11.98 x 0.6 inches,Intel,2,256 GB,Serial ATA,,,1 Lithium ion batteries required.,"May 23, 2018",$729.81
6274,11.6 inches,,1.6 GHz Intel Celeron,2 GB DDR3L,emmc,Integrated Intel HD Graphics,,Integrated,,,ASUS,Transformer Flip 11.6,Windows 10 Home,2.6 pounds,7.9 x 0.7 x 11.7 inches,7.9 x 0.7 x 11.7 inches,Intel,2,32 GB,,,,,"October 23, 2015",$229.99
6275,15.6 inches,,2.7 GHz Intel Core i7,16 GB,512 GB SSD,Intel HD Graphics,,Integrated,,,Dell,Dell Latitude,Windows 10,4.61 pounds,9.9 x 14.8 x 0.9 inches,9.9 x 14.8 x 0.9 inches,Intel,4,,Solid State,,,1 Lithium Polymer batteries required. (included),"December 26, 2018",$579.99
6276,13.3 inches,1920 x 1080 pixels,0.9 GHz core_m,8 GB DDR3,265 GB Flash Memory Solid State,Intel HD Graphics 515 Integrated,intel,Integrated,2,12 hours,ASUS,UX360CA-UBM1T,Windows 10,2.9 pounds,8.7 x 12.7 x 0.5 inches,8.7 x 12.7 x 0.5 inches,Intel,2,256.0,SSA,,No Optical Drive,1 Lithium Polymer batteries required. (included),"July 5, 2016",
6277,15.6 inches,1920 x 1080,1.8 GHz Intel Core i7,16 GB,512 GB SSD,Intel HD Graphics 620,Intel,Integrated,,,HP,HP 450 G6,Windows 10 Pro,12.3 ounces,14.4 x 10.1 x 0.8 inches,14.38 x 10.12 x 0.75 inches,Intel,4,512 GB,Solid State,,,,"October 13, 2019",$839.00
6278,17.3 inches,,,16 GB DDR,flash_memory_solid_state,NVIDIA GeForce GTX 1060,nvidia,Dedicated,,,ASUS,GL703VM-NH74,,8.82 pounds,,,,1,256 GB,,,,1 Lithium ion batteries required.,"December 24, 2017","$1,359.87"
6279,15.6 inches,,2.7 GHz Intel Core i7,8 GB DDR,1 TB mechanical_hard_drive,Intel HD Graphics 620,intel,Integrated,,,Acer_Aspire,Acer aspire,Windows 10,1 pounds,1 x 1 x 1 inches,1 x 1 x 1 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required. (included),"November 19, 2017",$599.99
6280,15.6 inches,,2.6 GHz Intel Core i7,16 GB,512 GB flash_memory_solid_state,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,nvidia,dedicated,,,MAINGEAR,NVIDIA GeForce GTX 1660,Windows 10 Pro,7.1 pounds,,,Intel,6,,Solid State,,,1 Lithium Polymer batteries required. (included),"October 30, 2019","$1,499.99"
6281,15.6 inches,1920 x 1080 pixels,1.8 GHz Core i7 8550U,16 GB DDR4,Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP EliteBook,Windows 10 Pro,3.92 pounds,14.6 x 9.9 x 0.7 inches,14.6 x 9.9 x 0.7 inches,Intel,4,512.0,Serial ATA,1 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"February 21, 2018","$1,549.00"
6282,15.6 inches,1366 x 768,1.6 GHz Intel Core i5,12 GB,128 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Lenovo,Lenovo,Windows 10,3.96 pounds,14.1 x 9.7 x 0.7 inches,14.09 x 9.65 x 0.7 inches,Intel,4,,Serial ATA,,,,"August 17, 2019",$553.72
6283,15.6 inches,1366 x 768,2.3 GHz Intel Core i5,4 GB DDR4,1 TB mechanical_hard_drive,Intel HD Graphics 520,intel,Integrated,,,Acer,E5-575-52JF,Windows 10,4.92 pounds,15 x 10.2 x 1.2 inches,15 x 10.2 x 1.2 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required.,"June 10, 2016",$512.79
6284,,,,,,,,,,,,,,4.8 pounds,,,,,,,,,,,
6285,15.6 inches,1920 x 1080,2 GHz AMD A Series,8 GB,512 GB SSD,AMD Radeon Vega8 graphics,AMD,,,,Dell,Dell,Windows 10 Home,4.89 pounds,14.9 x 10.2 x 0.9 inches,14.9 x 10.16 x 0.89 inches,AMD,4,,Serial ATA,,,,"October 26, 2019",$616.64
6286,15.6 inches,1920 x 1080,3.9 GHz Intel Core i5,20 GB DDR4,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Dell,884116146094,Windows 10,,14.2 x 9.5 x 0.7 inches,14.2 x 9.5 x 0.7 inches,Intel,4,,Solid State,,,,"September 3, 2019",$800.00
6287,14 inches,1366 x 768,1.1 GHz Intel Core i5,8 GB SDRAM,128 GB SSD,Intel UHD Graphics,,,,,Dell,Dell Inspiron,Windows 10,3.68 pounds,,,Intel,4,,Serial ATA,,,1 Lithium ion batteries required. (included),"November 28, 2019",$399.99
6288,15.6 inches,1366 x 768,,8 GB,512 GB flash_memory_solid_state,AMD Radeon R7,amd,"Integrated, Dedicated",,,ASUS,,Windows 10 Home,5.07 pounds,15 x 10.1 x 1 inches,15 x 10.1 x 1 inches,AMD,4,512 GB,,,,1 Lithium ion batteries required.,"April 15, 2019",$474.00
6289,15.6 inches,1366x768,2.5 GHz Intel Core i5,16 GB SDRAM,500 GB HDD 5400 rpm,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10,4.51 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.69 x 0.89 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required. (included),"June 3, 2019",$563.97
6290,12.5 inches,1920x1080 pixels,1.8 GHz Intel Core i5,8 GB DDR3,256 GB SSD,Intel HD Graphics 515,Intel HD Graphics,Integrated,4,10.25 hours,HP,Elite x2,Windows 10,1.8 pounds,11.8 x 8.4 x 0.3 inches,11.8 x 8.4 x 0.3 inches,Intel,2,256.0,Serial ATA-600,2000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"November 25, 2015",$849.00
6291,13.3 inches,,2.5 GHz Intel Core i5,12 GB DDR4,flash_memory_solid_state,Intel HD Graphics,,Integrated,,,Lenovo,Yoga 720,Windows 10,2.87 pounds,12.2 x 8.4 x 0.6 inches,12.2 x 8.4 x 0.6 inches,Intel,4,256 GB,,,,1 Lithium ion batteries required. (included),"April 17, 2017",$689.99
6292,11.6 inches,HD ( 1366 x 768 ) IPS Touchscreen,1.1 GHz Pentium,8 GB DDR,1 TB HDD 5400 rpm,Integrated Intel UHD Graphics 605,Intel,,,8.5 hours,HP,HP Pavilion x360,Windows 10 Home,3.06 pounds,7.9 x 11.6 x 0.8 inches,7.9 x 11.6 x 0.8 inches,Intel,4,,Serial ATA,,,2 Lithium ion batteries required.,"August 13, 2019",
6293,14 inches,1920x1080,1.8 GHz AMD A Series,4 GB,64 GB eMMC,AMD Radeon R5,,,,,Lenovo,Lenovo Notebook,Windows 10 Pro,5 pounds,12.9 x 8.8 x 0.7 inches,12.91 x 8.85 x 0.69 inches,AMD,2,,,,,,"November 12, 2019",$239.00
6294,15.6 inches,,2.2 GHz Intel Core i7,16 GB,500 GB SSD,NVIDIA GeForce RTX 2070 8GB GDDR5X,nvidia,dedicated,,,PowerSpec,NVIDIA GeForce RTX 2070,Windows 10,9.45 pounds,,,Intel,6,,Solid State,,,1 Lithium ion batteries required. (included),"May 6, 2019","$1,599.99"
6295,14.1 inches,,Intel Core i5,4 GB DDR,flash_memory_solid_state,Intel HD Graphics 4000,intel,Integrated,,,Dell,E6430,Windows 10,7.2 pounds,17 x 4 x 12 inches,17 x 4 x 12 inches,Intel,2,128 GB,,,,,"August 14, 2017",$195.89
6296,14.1 inches,,Intel Core i5,4 GB DDR,flash_memory_solid_state,Intel HD Graphics 4000,intel,Integrated,,,Dell,E6430,Windows 10,7.2 pounds,17 x 4 x 12 inches,17 x 4 x 12 inches,Intel,2,128 GB,,,,,"August 14, 2017",$195.89
6297,13.3 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB DDR4,1 TB flash_memory_solid_state,Intel UHD Graphics 620,,Integrated,,,Dell,Inspiron 13,Windows 10,5 pounds,,,Intel,4,,Serial ATA,,,,"September 25, 2019",$794.00
6298,15.6 inches,1920 x 1080,2.7 GHz AMD A Series,24 GB,512 GB flash_memory_solid_state,AMD Radeon R7,amd,Dedicated,,,ASUS,VivoBook F510QA,Windows 10,5.1 pounds,14.2 x 10.1 x 0.8 inches,14.2 x 10.1 x 0.8 inches,Intel,4,,Solid State,,,,"July 2, 2019",$500.13
6299,15.6 inches,1366 x 768 (HD),2.2 GHz Intel Core i5,8 GB DDR3,1 TB HDD 5400 rpm,integrated_graphics,intel,integrated,,6 hours,Dell,Inspiron 15,Windows 10,5.25 pounds,15 x 10 x 1 inches,15 x 10 x 1 inches,Intel,2,1 TB,Serial ATA,5400 RPM,,,"December 1, 2015",$619.99
6300,15.6 inches,1366x768,1.1 GHz Intel Celeron,4 GB,1 TB HDD 5400 rpm,Intel HD Graphics 500,intel,Integrated,,4 hours,Lenovo,Lenovo IdeaPad 320 15.6 Red,Windows 10,6 pounds,14.9 x 10.2 x 0.9 inches,14.88 x 10.24 x 0.9 inches,Intel,2,,Serial ATA,5400 RPM,,,"September 7, 2018",$289.00
6301,14 inches,HD ( 1366 x 768 ) BrightView micro-edge,2.3 GHz Pentium,12 GB DDR,500 GB HDD 5400 rpm,Intel HD Graphics 610 Integrated,Intel,integrated,,11.25 hours,HP,hp 14 inch laptop,Windows 10 S,3.15 pounds,9 x 12.8 x 0.8 inches,8.98 x 12.76 x 0.78 inches,Intel,2,,Serial ATA,,,3 Lithium ion batteries required.,"September 18, 2019",$319.00
6302,14 inches,1920 x 1080,4.2 GHz Intel Core i7,16 GB,500 GB SSD,Intel UHD Graphics 620,intel,Integrated,,,Lenovo,Lenovo Thinkpad,Windows 10 Pro,2.9 pounds,13 x 8.9 x 0.7 inches,13.03 x 8.93 x 0.73 inches,Intel,4,500 GB,Solid State,,,1 Lithium ion batteries required. (included),"September 12, 2019","$1,250.00"
6303,15.6 inches,1920x1080,2.7 GHz Intel Core i7,12 GB,1 TB HDD 7200 rpm,NVIDIA GeForce GTX 1060,nvidia,Dedicated,,,ASUS,ROG Strix GL502V,Windows 10,4.94 pounds,15.4 x 10.5 x 0.9 inches,15.4 x 10.5 x 0.9 inches,Intel,4,1 TB,Serial ATA,7200.00,,,"October 30, 2019",$799.99
6304,14 inches,2560 x 1440,1.9 GHz,16 GB DDR3,512 GB SSD,Intel UHD Graphics 620,intel,Integrated,,,Lenovo,Lenovo X1 Carbon 7th Gen,Windows 10 Pro,4.05 pounds,,,Intel,1,512.00,Solid State,0.1,No Optical Drive,1 Lithium ion batteries required.,"May 30, 2019",
6305,11.6 inches,1366x768,1.8 GHz AMD A Series,8 GB SDRAM,256 GB SSD,AMD Radeon R5,,,,,Dell,Dell,Windows 10,3.9 pounds,11.6 x 8 x 0.8 inches,11.6 x 7.95 x 0.82 inches,AMD,2,,Solid State,,,1 Lithium ion batteries required. (included),"November 22, 2019",$379.99
6306,13.3 inches,2560-by-1600,2.9 GHz Core i5 Family,8 GB DDR3,256 GB Solid State Drive,Intel Iris Graphics 550,intel,Dedicated,,8 hours,Apple,MacBook Pro,Mac OS X,3 pounds,8.4 x 12 x 0.6 inches,8.36 x 11.97 x 0.59 inches,Intel,2,256 GB,ATA,,,1 Lithium Polymer batteries required. (included),"November 29, 2017","$1,043.51"
6307,15.6 inches,1920x1080,2.4 GHz,12 GB GDDR5,1 TB flash_memory_solid_state,,NVIDIA GeForce GTX 1650,dedicated,,,HP,HP Omen,Windows 10,8.72 pounds,10.3 x 14.2 x 1 inches,10.35 x 14.17 x 0.98 inches,Intel,1,,,,,1 Lithium ion batteries required. (included),"July 1, 2019",$799.99
6308,15.4 inches,1280 x 800,2.4 GHz Intel Core 2 Duo,2 GB DDR3,250 GB,Intel GMA 4500M,intel,integrated,,6 hours,Lenovo,ThinkPad,Windows XP;,5.9 pounds,10 x 14 x 1.2 inches,10 x 14 x 1.2 inches,Intel,2,,Serial ATA,5400 RPM,,,"October 18, 2009",
